TeamYear,Season,Team,G_x,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,wRC+,EV_x,BsR,Off,Def_x,WAR_x,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def_y,W,L,SV,G_y,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,EV_y,ERA,FIP,xFIP,WAR_y
2019_Astros,2019,Astros,2309,6394,288,920,891,67,10.10%,18.20%,0.221,0.29600000000000004,0.27399999999999997,0.35200000000000004,0.495,0.355,125,88.3,-9.5,196.3,-2.5,40.8,13161,-1,-2,-2,-4,-1,27,70,15.0,96,1760,1432,0.8140000000000001,651,,-0.2,-0.9,-5.5,17.2,4.1,14.9,1.6,9.9,107,55,47,654,162,1462.1,10.28,2.76,1.42,0.27,76.80%,43.60%,16.70%,88.1,3.66,3.98,3.8,23.7
2016_Cubs,2016,Cubs,2332,6335,199,808,767,66,10.40%,21.10%,0.17300000000000001,0.302,0.256,0.34299999999999997,0.429,0.33299999999999996,106,88.1,17.3,61.5,104.8,37.1,13137,19,0,2,-1,-4,-5,88,22.0,107,1947,1661,0.853,467,49.0,15.2,1.0,-1.0,42.8,4.3,47.1,6.4,43.1,103,58,38,665,162,1459.2,8.88,3.05,1.01,0.255,77.50%,46.90%,13.10%,88.3,3.15,3.77,3.74,18.8
2011_Yankees,2011,Yankees,2301,6306,222,867,836,147,9.90%,18.00%,0.18100000000000002,0.292,0.263,0.34299999999999997,0.444,0.345,113,,6.6,101.8,39.7,37.0,13125,24,1,0,0,6,6,-9,-1.0,19,2209,1834,0.83,512,16.0,33.4,7.3,1.2,16.9,-1.5,23.8,4.6,22.4,97,65,47,627,162,1458.1,7.54,3.13,0.94,0.297,75.00%,44.20%,9.90%,,3.73,3.87,3.84,17.3
2015_Blue Jays,2015,Blue Jays,2337,6231,232,891,852,88,9.10%,18.50%,0.188,0.298,0.26899999999999996,0.34,0.457,0.344,117,88.8,11.0,135.6,6.6,36.7,12969,2,0,5,7,1,-4,-18,22.0,25,2236,1857,0.831,517,21.0,6.9,-8.0,-1.2,15.4,3.5,9.7,-0.4,17.7,93,69,34,631,162,1441.0,6.98,2.48,1.08,0.278,72.70%,43.70%,11.00%,88.1,3.81,4.09,4.14,13.7
2011_Red Sox,2011,Red Sox,2269,6414,203,875,842,102,9.00%,17.30%,0.18100000000000002,0.314,0.28,0.349,0.461,0.35200000000000004,117,,-12.2,114.6,16.2,36.3,13116,7,0,0,-2,-7,-8,38,-1.0,18,2169,1830,0.8440000000000001,489,16.0,-5.0,-3.5,0.1,42.1,5.3,44.0,5.3,30.4,90,72,36,606,162,1457.1,7.49,3.33,0.96,0.285,70.80%,42.30%,9.10%,,4.2,4.05,4.13,14.3
2013_Red Sox,2013,Red Sox,2264,6382,178,853,819,123,9.10%,20.50%,0.16899999999999998,0.32899999999999996,0.27699999999999997,0.349,0.446,0.34700000000000003,114,,13.3,116.6,11.9,36.2,13086,8,-1,-3,-2,6,5,15,8.0,22,2084,1731,0.831,519,20.0,2.0,-2.2,-2.7,21.4,8.2,24.7,2.6,19.4,97,65,33,612,162,1454.0,8.01,3.24,0.97,0.294,74.50%,42.90%,10.20%,,3.79,3.84,3.89,15.8
2010_Reds,2010,Reds,2370,6285,188,790,761,93,8.30%,19.40%,0.16399999999999998,0.314,0.272,0.33799999999999997,0.436,0.34,106,,12.7,56.9,96.8,35.7,13077,5,-4,0,0,-1,13,21,2.0,43,2307,1940,0.841,423,44.0,16.3,-2.6,2.0,19.1,19.4,37.9,4.7,43.9,91,71,43,664,162,1453.0,7.0,3.25,0.98,0.28800000000000003,73.60%,42.90%,9.40%,,4.02,4.12,4.13,12.8
2016_Red Sox,2016,Red Sox,2284,6320,208,878,836,83,8.80%,18.40%,0.179,0.32,0.282,0.348,0.461,0.34600000000000003,113,89.1,10.6,110.0,15.9,35.2,12957,3,1,4,1,7,12,24,17.0,69,1993,1646,0.826,521,34.0,-2.1,5.8,2.6,16.4,4.5,29.3,5.2,36.3,93,69,43,625,162,1439.2,8.51,3.06,1.1,0.293,72.90%,41.50%,11.40%,88.1,4.0,4.0,4.2,18.8
2009_Rays,2009,Rays,2345,6223,199,803,765,194,10.30%,19.70%,0.177,0.303,0.263,0.34299999999999997,0.439,0.342,109,,21.6,90.8,41.8,35.1,12846,0,-2,-2,-5,11,7,36,,41,2195,1821,0.83,564,44.0,10.2,8.5,-6.2,54.3,-7.2,49.3,8.0,44.9,84,78,41,672,162,1427.1,7.09,3.25,1.15,0.289,71.20%,41.50%,10.50%,,4.36,4.37,4.3,12.4
2007_Phillies,2007,Phillies,2446,6537,213,892,850,138,9.80%,18.40%,0.184,0.311,0.27399999999999997,0.354,0.45799999999999996,0.35100000000000003,105,,20.6,63.3,78.5,34.9,13125,0,3,4,0,26,-3,16,,47,2455,1989,0.81,409,,,11.5,-0.6,20.5,1.2,32.6,6.1,38.6,89,73,42,660,162,1458.1,6.48,3.44,1.22,0.301,71.50%,43.50%,11.90%,,4.76,4.86,4.52,9.9
