TeamYear,Season,Team,W%,HR,BB%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,BIZ,Plays,RZR,HR/9,BABIP_y,GB%,HR/FB
2019_Astros,2019,Astros,0.6604938271604939,1.7777777777777777,0.10099999999999999,0.221,0.29600000000000004,0.274,0.35200000000000004,0.495,0.355,10.864197530864198,8.839506172839506,0.8140000000000001,1.42,0.27,0.436,0.16699999999999998
2016_Cubs,2016,Cubs,0.6358024691358025,1.228395061728395,0.10400000000000001,0.173,0.302,0.256,0.343,0.429,0.333,12.018518518518519,10.253086419753087,0.853,1.01,0.255,0.469,0.131
2011_Yankees,2011,Yankees,0.5987654320987654,1.3703703703703705,0.099,0.181,0.292,0.263,0.343,0.444,0.345,13.635802469135802,11.320987654320987,0.83,0.94,0.297,0.442,0.099
2015_Blue Jays,2015,Blue Jays,0.5740740740740741,1.4320987654320987,0.091,0.188,0.298,0.269,0.34,0.457,0.344,13.802469135802468,11.462962962962964,0.831,1.08,0.278,0.43700000000000006,0.11
2011_Red Sox,2011,Red Sox,0.5555555555555556,1.2530864197530864,0.09,0.181,0.314,0.28,0.349,0.461,0.35200000000000004,13.38888888888889,11.296296296296296,0.8440000000000001,0.96,0.285,0.423,0.091
2013_Red Sox,2013,Red Sox,0.5987654320987654,1.0987654320987654,0.091,0.16899999999999998,0.329,0.277,0.349,0.446,0.34700000000000003,12.864197530864198,10.685185185185185,0.831,0.97,0.294,0.429,0.102
2010_Reds,2010,Reds,0.5617283950617284,1.1604938271604939,0.083,0.16399999999999998,0.314,0.272,0.338,0.436,0.34,14.24074074074074,11.975308641975309,0.841,0.98,0.28800000000000003,0.429,0.094
2016_Red Sox,2016,Red Sox,0.5740740740740741,1.2839506172839505,0.08800000000000001,0.179,0.32,0.282,0.348,0.461,0.34600000000000003,12.302469135802468,10.160493827160494,0.826,1.1,0.293,0.415,0.114
2009_Rays,2009,Rays,0.5185185185185185,1.228395061728395,0.10300000000000001,0.177,0.303,0.263,0.343,0.439,0.342,13.549382716049383,11.24074074074074,0.83,1.15,0.289,0.415,0.105
2007_Phillies,2007,Phillies,0.5493827160493827,1.3148148148148149,0.098,0.184,0.311,0.274,0.354,0.458,0.35100000000000003,15.154320987654321,12.277777777777779,0.81,1.22,0.301,0.435,0.11900000000000001
2019_Dodgers,2019,Dodgers,0.654320987654321,1.7222222222222223,0.09699999999999999,0.215,0.29100000000000004,0.257,0.338,0.472,0.338,10.907407407407407,8.858024691358025,0.812,1.15,0.271,0.449,0.141
