Season,Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
2011,Diamondbacks,12990,12,2,5,1,-6,5,37,0,57,2160,1812,0.839,554,21,18.4,-4,-0.8,58.6,6.9,60.6,7.2,110.4
2009,Mariners,13074,0,0,12,3,0,-6,66,,80,2297,1945,0.847,526,5,-35.1,-0.2,6.1,92.3,-12.2,86,11.8,96.9
2008,Phillies,13047,0,1,-4,-4,18,2,63,,76,2237,1839,0.822,477,,15.9,21.3,0.3,42.2,2.7,66.5,13.6,96.7
2007,Royals,12936,0,-4,-1,7,-2,0,38,,43,2495,2105,0.844,385,,,9.3,3.1,63.2,-3.3,72.3,11.4,75.3
2008,Rays,13119,0,-4,0,3,2,-2,9,,15,2267,1897,0.837,450,,-21.7,5.4,3.4,65.9,-2.1,72.6,11.4,71.1
2013,Royals,13035,-9,3,2,5,15,15,30,-2,67,2144,1805,0.842,548,50,-9,17.7,4.4,33.4,4.8,60.3,11.6,68
2012,Rays,13137,17,-2,4,5,0,-3,21,10,52,2107,1736,0.824,458,-10,28.4,0.6,4.7,15.9,-13,8.2,1.8,66.7
2014,Royals,13056,-9,4,4,-4,5,6,24,-5,27,2286,1880,0.822,541,42,-13.1,9.9,-7.1,41.8,7.2,51.8,7.1,65.5
2009,Reds,13125,0,0,1,-3,13,3,9,,34,2264,1906,0.842,479,20,25.1,14,1.4,29.1,3.7,48.2,8.7,61.1
2008,Athletics,12915,0,2,3,12,1,3,20,,57,2289,1940,0.848,436,,0.8,0.8,9.9,31.1,-5.4,36.4,6.1,60
2008,Astros,12828,0,2,-2,4,2,4,4,,17,2286,1938,0.848,441,,-1.2,4.3,2.2,29.2,16.3,52,7.9,59.8
2011,Rays,13041,-16,0,1,4,6,12,38,10,65,2106,1779,0.845,545,40,-20.6,1.2,5,44.5,6.6,57.3,9.3,59.8
2006,Royals,12837,0,1,3,9,-3,0,21,,30,2556,2136,0.836,357,,,5.6,2.1,44.5,-1.7,50.6,7.6,58.6
2008,Red Sox,13017,0,2,0,0,-7,8,12,,17,2313,1935,0.837,366,,-7.9,-4.3,0.5,56.3,4.7,57.1,7.2,58.1
2009,Giants,13014,0,-5,1,-3,5,-11,35,,17,2080,1761,0.847,440,-26,5.1,-1.6,-6.9,65.7,-0.8,56.3,7,57.6
2010,Giants,13149,7,3,4,1,7,0,0,0,23,2103,1775,0.844,411,1,1,7.2,-1.4,36.4,14.3,56.5,9.4,56.8
2010,Padres,13107,-7,1,0,-3,-5,8,63,1,70,2192,1832,0.836,441,14,11.1,-4.1,-1.2,36.4,14.4,45.4,5.1,55.3
2012,Braves,13008,22,2,3,-1,2,11,48,0,85,2178,1821,0.836,531,5,37.6,8.7,2.5,27.5,5.7,44.4,8.2,53.7
2014,Rays,13173,9,1,-1,-4,-4,-4,-16,1,-26,2096,1702,0.812,500,25,24.2,1.7,-4.9,10.2,-0.1,6.9,0.3,53.2
2018,Angels,12936,2,0,4,7,-5,2,53,-14,47,1977,1617,0.818,537,19,5.7,-1.1,6.1,18.8,17.4,41.2,5,50.2
2007,Cubs,13020,0,-5,-10,2,12,8,18,,16,2267,1906,0.841,326,,,14.6,5.3,44.4,2.9,67.1,13.6,49.1
2006,Tigers,13032,0,1,4,10,8,-2,18,,54,2478,2081,0.84,348,,,5.9,3,28.6,-2.5,35,6.3,48
2006,Mariners,13020,0,-9,1,4,7,-1,50,,54,2377,1979,0.833,395,,,12.6,5.5,23.9,0.1,42,8.3,46
2013,Orioles,13077,-2,-12,3,7,5,6,7,10,26,2138,1807,0.845,499,45,-4,5.9,5,14.9,11.2,36.9,6.6,45.7
2009,Rays,12846,0,-2,-2,-5,11,7,36,,41,2195,1821,0.83,564,44,10.2,8.5,-6.2,54.3,-7.2,49.3,8,44.9
2014,Red Sox,13191,9,-3,2,-8,10,5,35,8,51,2247,1838,0.818,514,-2,14,9.5,-4,29.2,11.8,46.4,7.2,44.9
2011,Reds,13209,7,1,-2,-4,1,-5,52,1,61,2295,1955,0.852,479,32,10.9,3,-3.9,29,10.4,38.5,5.2,44.5
2010,Reds,13077,5,-4,0,0,-1,13,21,2,43,2307,1940,0.841,423,44,16.3,-2.6,2,19.1,19.4,37.9,4.7,43.9
2016,Cubs,13137,19,0,2,-1,-4,-5,88,22,107,1947,1661,0.853,467,49,15.2,1,-1,42.8,4.3,47.1,6.4,43.1
2019,Athletics,13185,-11,-4,1,-7,9,-5,60,-12,36,2116,1747,0.826,534,,-7.9,8.1,-1.2,14.3,18.7,39.9,5.9,42.9
2011,Angels,13185,10,1,-1,6,7,13,-2,1,29,2280,1950,0.855,518,17,9.9,3.8,6.7,23.6,7.8,41.8,6.6,42.9
2015,Royals,13068,-8,-2,3,-7,3,7,44,-14,35,2209,1869,0.846,503,39,-10.7,4.2,-8.1,32.5,8.1,36.8,4.7,42.8
2018,Royals,12888,-10,-1,5,-6,1,-5,6,25,13,2137,1706,0.798,624,-1,-13.5,4.9,-4.3,26.2,7.7,34.5,4.7,42.5
2014,Orioles,13152,1,2,0,11,9,12,21,8,58,2196,1815,0.827,546,40,6,14.2,6.6,20.7,-0.2,41.3,8.6,41.9
2007,Braves,13107,0,1,-2,2,16,4,44,,59,2364,1940,0.821,460,,,21.9,-1.4,27.2,-2.3,45.5,10.2,40.5
2014,Reds,13014,-7,2,0,-1,4,11,28,18,65,2165,1805,0.834,421,34,-0.7,5.7,-1.1,19.7,9.4,33.7,5.6,39.8
2019,Cardinals,12996,-13,0,2,2,5,-3,69,16,91,1919,1576,0.821,566,,-10.9,5.3,5.7,9.5,12.2,32.8,6.1,39.8
2010,Diamondbacks,12888,10,-2,-4,3,2,-4,15,-2,15,2327,1932,0.83,437,3,7.7,-0.6,3.5,52.1,-1.3,53.7,7.2,39.7
2019,Indians,12939,20,7,1,0,8,11,17,19,82,1881,1542,0.82,550,,13,13.5,-0.5,8.1,11.8,32.9,7,38.9
2017,Red Sox,13341,31,-1,6,-4,5,15,23,6,79,1930,1581,0.819,529,19,12.3,0.7,-5.2,32.1,0.1,27.7,3.1,38.7
2007,Tigers,13026,0,4,1,4,1,-3,33,,42,2505,2083,0.832,382,,,5,-2.1,28.2,1.5,32.6,4.8,38.6
2007,Phillies,13125,0,3,4,0,26,-3,16,,47,2455,1989,0.81,409,,,11.5,-0.6,20.5,1.2,32.6,6.1,38.6
2018,Athletics,13191,-1,-8,4,0,-4,-2,40,23,54,2067,1763,0.853,594,9,-2.8,-1.8,0,29,9.5,36.7,4,37.7
2012,Angels,12900,-7,0,-3,-1,2,23,28,-3,41,2242,1883,0.84,471,34,-14.8,4.3,0.7,34.7,-4.5,35.2,5.5,37.6
2017,Angels,12966,16,3,4,7,-3,3,23,-9,46,2134,1738,0.814,522,19,24.7,-0.4,3.7,15.4,10.6,29.3,4.2,37.3
2011,Rangers,12972,-12,-3,2,7,-5,-5,7,3,-5,2074,1752,0.845,510,48,-11.9,-3.4,7.4,36.9,-10.6,30.3,4.2,36.4
2016,Red Sox,12957,3,1,4,1,7,12,24,17,69,1993,1646,0.826,521,34,-2.1,5.8,2.6,16.4,4.5,29.3,5.2,36.3
2019,Phillies,13083,1,-2,10,-4,5,-2,28,6,51,2007,1621,0.808,541,,8,8.2,-8.1,14.1,6.9,21.1,3.4,36.1
2008,Cardinals,13086,0,-2,6,3,3,3,47,,69,2428,2058,0.848,458,,18.3,2.6,0.1,2.4,14.1,19.2,2.8,36
2016,Marlins,12915,1,-10,0,-4,7,3,5,4,4,1984,1640,0.827,476,24,-8.1,4,-2.2,18.4,12.1,32.3,4.8,35.3
2006,Astros,13218,0,3,-3,4,3,7,38,,56,2384,1997,0.838,400,,,-2.3,4.5,25.9,8.8,37,4.8,35
2006,Twins,12954,0,-2,-1,-5,1,8,3,,15,2456,2019,0.822,329,,,1.9,-6.3,32.6,2.5,30.8,4,34.8
2012,Diamondbacks,12903,8,0,3,-5,5,6,13,1,32,2203,1829,0.83,462,19,10.9,6.4,-1.6,-24,18,-1.2,0.9,34.7
2016,Angels,12792,0,1,3,-1,4,13,-1,17,38,2129,1690,0.794,562,0,-6.9,5.9,1.1,25.5,-6.8,25.7,4.7,34.7
2010,Twins,13074,-2,3,3,-2,4,6,-23,0,-2,2398,2042,0.852,386,10,4.3,1.9,-4.6,16.4,14.4,28.1,3.6,33.8
2008,Mets,13179,0,-1,-1,-5,-1,5,28,,33,2241,1866,0.833,449,,5.8,1.9,1.8,26.6,1.5,31.8,4.9,33.5
2013,Rangers,13170,-1,-2,1,3,8,0,12,3,29,2127,1775,0.835,506,26,-9.9,11.4,1.2,20.1,-2.2,30.5,6,33.1
