Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
2017,Indians,102,60,37,659,162,1440.2,10.08,2.54,1.02,0.303,77.50%,44.10%,13.00%,87.1,3.3,3.33,3.41,30.4
2011,Phillies,102,60,47,556,162,1477,7.92,2.46,0.73,0.286,77.50%,46.50%,8.30%,,3.02,3.24,3.41,29.5
2018,Astros,103,59,46,672,162,1455,10.44,2.69,0.94,0.283,77.90%,44.00%,11.60%,87.8,3.11,3.23,3.36,29.1
2013,Tigers,93,69,39,590,162,1462.2,8.79,2.84,0.79,0.306,73.70%,45.40%,9.20%,,3.61,3.27,3.43,26.3
2019,Rays,96,66,46,765,162,1474.1,9.9,2.77,1.1,0.29,73.70%,44.10%,13.40%,87.9,3.67,3.65,3.89,25.3
2012,Tigers,88,74,40,582,162,1430.2,8.29,2.76,0.95,0.307,72.70%,43.40%,10.50%,,3.77,3.63,3.74,24.5
2014,Nationals,96,66,45,620,162,1470.2,7.88,2.15,0.67,0.294,74.90%,44.80%,7.50%,,3.03,3.18,3.43,24.3
2018,Yankees,100,62,49,670,162,1456.1,10.1,3.05,1.09,0.3,73.90%,42.90%,12.90%,87.9,3.78,3.63,3.61,24.2
2008,White Sox,89,74,34,626,163,1457.2,7.08,2.84,0.96,0.298,71.00%,45.50%,10.00%,,4.11,4,4.01,24.1
2019,Dodgers,106,56,44,707,162,1445.2,9.46,2.44,1.15,0.271,74.70%,44.90%,14.10%,87.6,3.39,3.73,3.87,24.1
2010,White Sox,88,74,43,569,162,1446.1,7.15,3.05,0.85,0.305,71.50%,44.90%,8.40%,,4.09,3.8,3.94,24
2019,Twins,101,61,50,686,162,1463.1,9,2.78,1.22,0.309,71.80%,41.80%,13.40%,88.4,4.18,4.03,4.27,24
2019,Astros,107,55,47,654,162,1462.1,10.28,2.76,1.42,0.27,76.80%,43.60%,16.70%,88.1,3.66,3.98,3.8,23.7
2016,Nationals,95,67,46,670,162,1459.2,9.1,2.89,0.96,0.288,75.00%,43.30%,10.90%,88.1,3.52,3.58,3.82,23.5
2017,Yankees,91,71,36,639,162,1448.2,9.69,3.13,1.19,0.28,74.50%,46.20%,14.20%,87,3.75,3.88,3.82,23.4
2017,Red Sox,93,69,39,677,162,1482.1,9.59,2.82,1.18,0.303,75.70%,41.00%,12.70%,87.5,3.73,3.78,3.91,23.2
2011,White Sox,79,83,42,572,162,1460,7.52,2.71,0.91,0.303,71.30%,44.20%,9.40%,,4.1,3.66,3.69,23.2
2017,Nationals,97,65,46,649,162,1446.2,9.06,3.08,1.18,0.287,74.40%,44.00%,12.80%,86.8,3.88,3.99,4.12,23
2008,Diamondbacks,82,80,39,606,162,1434.2,7.71,2.83,0.92,0.297,70.90%,45.30%,9.90%,,3.99,3.84,3.87,22.9
2015,Cubs,97,65,48,714,162,1461.1,8.81,2.51,0.83,0.287,72.70%,46.60%,10.70%,87.9,3.36,3.3,3.37,22.9
2017,Diamondbacks,93,69,43,675,162,1441,9.26,3.22,1.07,0.294,74.20%,48.10%,13.10%,87.9,3.67,3.8,3.86,22.9
2007,Padres,89,74,45,648,163,1484.2,6.89,2.87,0.72,0.287,71.60%,45.80%,7.40%,,3.72,3.81,4.13,22.7
2008,Blue Jays,86,76,44,583,162,1446.2,7.37,2.91,0.83,0.284,74.80%,46.60%,9.30%,,3.49,3.81,3.92,22.3
2019,Nationals,93,69,40,692,162,1439.1,9.45,3.23,1.26,0.296,73.00%,42.60%,13.90%,88.6,4.28,4.14,4.32,22.3
2012,Rangers,93,69,43,590,162,1442,8.03,2.78,1.09,0.292,71.50%,43.90%,11.60%,,4.02,3.9,3.86,22.2
2015,Nationals,83,79,41,630,162,1434.2,8.42,2.28,0.91,0.3,72.70%,44.70%,10.30%,87.6,3.62,3.45,3.58,22.2
2018,Indians,91,71,41,670,162,1457.1,9.54,2.51,1.24,0.298,76.00%,42.50%,13.70%,88.3,3.77,3.79,3.66,22.1
2019,Indians,93,69,42,684,162,1437.2,9.44,2.82,1.3,0.291,76.00%,39.70%,13.60%,88.6,3.79,4.06,4.3,21.9
2017,Dodgers,104,58,51,698,162,1444.2,9.65,2.75,1.15,0.281,77.80%,42.70%,13.40%,86.3,3.38,3.67,3.7,21.7
2010,Rockies,83,79,35,675,162,1442,7.7,3.28,0.87,0.302,70.80%,46.50%,9.60%,,4.14,3.83,3.8,21.6
2016,Mets,87,75,55,700,162,1447,8.68,2.73,0.95,0.308,75.60%,44.20%,11.10%,88.6,3.58,3.57,3.78,21.5
2006,Angels,89,73,50,542,162,1452.2,7.21,2.92,0.98,0.291,70.10%,42.30%,9.20%,,4.04,4.03,4.28,21.3
2013,Rangers,91,72,46,638,163,1463.1,8.05,3.06,0.97,0.293,75.50%,42.80%,10.70%,,3.63,3.77,3.75,21.2
2015,Indians,81,80,38,637,161,1432.2,8.84,2.67,1.01,0.288,72.80%,44.50%,11.70%,88.5,3.68,3.62,3.57,21.1
2009,Rockies,92,70,45,646,162,1438.1,7.22,3.3,0.88,0.299,71.30%,47.30%,9.90%,,4.24,3.96,3.99,21
2012,Dodgers,86,76,40,668,162,1449.2,7.92,3.35,0.76,0.283,74.80%,45.50%,8.90%,,3.35,3.64,3.93,20.8
2013,Dodgers,92,70,46,666,162,1450.1,8.02,2.85,0.79,0.291,75.40%,47.10%,9.90%,,3.25,3.45,3.52,20.6
2008,Cubs,97,64,44,639,161,1450.2,7.84,3.4,0.99,0.281,74.00%,41.60%,9.80%,,3.87,4.09,4.14,20.6
2006,Twins,96,66,40,583,162,1439.1,7.28,2.23,1.14,0.302,73.70%,43.70%,11.30%,,3.95,3.99,3.93,20.6
2015,Cardinals,100,62,62,677,162,1464.2,8.17,2.93,0.76,0.297,79.40%,48.00%,9.40%,87.9,2.94,3.48,3.71,20.6
2014,Cubs,73,89,37,699,162,1463.1,8.06,3.1,0.71,0.304,69.60%,44.00%,8.00%,,3.92,3.51,3.7,20.5
2007,Indians,96,66,49,557,162,1462.2,6.44,2.52,0.9,0.302,71.90%,45.30%,8.70%,,4.05,4.06,4.21,20.5
2012,Rays,90,72,50,634,162,1459.2,8.53,2.89,0.86,0.277,75.50%,47.90%,10.70%,,3.19,3.51,3.59,20.4
2019,Mets,86,76,38,664,162,1461,9.36,3.08,1.26,0.304,73.10%,43.40%,13.90%,87.6,4.25,4.1,4.29,20.4
2014,Indians,85,77,40,735,162,1468.1,8.89,2.84,0.83,0.309,73.20%,46.70%,10.00%,,3.57,3.42,3.36,20.3
2009,White Sox,79,83,36,577,162,1439.2,7,3.17,1.06,0.294,71.70%,44.30%,10.30%,,4.16,4.21,4.19,20.2
2007,Angels,94,68,43,558,162,1435,7.25,2.99,0.95,0.307,71.10%,42.20%,8.60%,,4.23,4.1,4.26,20
2016,Dodgers,91,71,47,768,162,1453,9.35,2.87,1.02,0.288,73.80%,42.80%,11.70%,87.3,3.7,3.61,3.75,20
2008,Dodgers,84,78,35,623,162,1447.1,7.49,2.98,0.76,0.295,72.60%,49.60%,9.30%,,3.68,3.67,3.77,20
2011,Dodgers,82,79,40,622,161,1432,7.95,3.19,0.83,0.285,74.10%,42.80%,8.80%,,3.56,3.61,3.72,20
2007,Dodgers,82,80,43,645,162,1450,7.35,3.22,0.91,0.301,70.90%,45.50%,9.60%,,4.2,4.07,4.07,20
2012,Phillies,81,81,42,602,162,1451.1,8.59,2.54,1.1,0.298,72.90%,43.50%,12.10%,,3.86,3.72,3.61,19.8
2006,Dodgers,88,74,40,616,162,1460.1,6.58,3.03,0.94,0.302,70.80%,47.80%,9.70%,,4.23,4.13,4.29,19.7
